2024-05-17 12:22:15.844 [restartedMain] INFO  com.application.aop.Application - Starting Application using Java 17.0.9 with PID 27068 (C:\Users\somin\git\study_backend\16_spring_aop\bin\main started by somin in C:\Users\somin\git\study_backend\16_spring_aop)
2024-05-17 12:22:15.860 [restartedMain] INFO  com.application.aop.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-17 12:22:15.927 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-17 12:22:15.928 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-17 12:22:17.176 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-17 12:22:17.179 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-05-17 12:22:17.180 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2024-05-17 12:22:17.213 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2024-05-17 12:22:17.229 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-17 12:22:17.233 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-17 12:22:17.234 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-17 12:22:17.293 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-17 12:22:17.293 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1364 ms
2024-05-17 12:22:17.880 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-17 12:22:17.903 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-17 12:22:17.985 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-17 12:22:18.001 [restartedMain] INFO  com.application.aop.Application - Started Application in 2.543 seconds (process running for 3.656)
2024-05-17 12:23:23.051 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-05-17 12:23:23.056 [Thread-5] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-05-17 12:23:23.207 [restartedMain] INFO  com.application.aop.Application - Starting Application using Java 17.0.9 with PID 27068 (C:\Users\somin\git\study_backend\16_spring_aop\bin\main started by somin in C:\Users\somin\git\study_backend\16_spring_aop)
2024-05-17 12:23:23.207 [restartedMain] INFO  com.application.aop.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-17 12:23:23.461 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-17 12:23:23.461 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-05-17 12:23:23.461 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2024-05-17 12:23:23.462 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2024-05-17 12:23:23.462 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-17 12:23:23.465 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-17 12:23:23.465 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-17 12:23:23.501 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-17 12:23:23.501 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 289 ms
2024-05-17 12:23:23.757 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-17 12:23:23.771 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-17 12:23:23.779 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-17 12:23:23.791 [restartedMain] INFO  com.application.aop.Application - Started Application in 0.631 seconds (process running for 69.446)
2024-05-17 12:23:23.795 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-05-17 12:23:40.746 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-05-17 12:23:40.749 [Thread-7] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-05-17 12:23:40.889 [restartedMain] INFO  com.application.aop.Application - Starting Application using Java 17.0.9 with PID 27068 (C:\Users\somin\git\study_backend\16_spring_aop\bin\main started by somin in C:\Users\somin\git\study_backend\16_spring_aop)
2024-05-17 12:23:40.889 [restartedMain] INFO  com.application.aop.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-17 12:23:41.132 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 80 (http)
2024-05-17 12:23:41.133 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-05-17 12:23:41.134 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2024-05-17 12:23:41.134 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2024-05-17 12:23:41.135 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2024-05-17 12:23:41.136 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-17 12:23:41.136 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-05-17 12:23:41.161 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-17 12:23:41.161 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 267 ms
2024-05-17 12:23:41.416 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-17 12:23:41.424 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2024-05-17 12:23:41.431 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 80 (http) with context path ''
2024-05-17 12:23:41.435 [restartedMain] INFO  com.application.aop.Application - Started Application in 0.577 seconds (process running for 87.091)
2024-05-17 12:23:41.437 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-05-17 12:23:44.996 [http-nio-80-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-17 12:23:44.997 [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-17 12:23:45.000 [http-nio-80-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-17 12:26:21.440 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (1 addition, 0 deletions, 0 modifications)
2024-05-17 12:26:21.444 [Thread-11] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-80"]
2024-05-17 12:26:21.579 [restartedMain] INFO  com.application.aop.Application - Starting Application using Java 17.0.9 with PID 27068 (C:\Users\somin\git\study_backend\16_spring_aop\bin\main started by somin in C:\Users\somin\git\study_backend\16_spring_aop)
2024-05-17 12:26:21.580 [restartedMain] INFO  com.application.aop.Application - No active profile set, falling back to 1 default profile: "default"
2024-05-17 12:26:21.839 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 80 (http)
2024-05-17 12:26:21.840 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - An older version [1.2.35] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [2.0.5]
2024-05-17 12:26:21.840 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0].
2024-05-17 12:26:21.840 [restartedMain] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022]
2024-05-17 12:26:21.841 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2024-05-17 12:26:21.843 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
